4;1;2;1
132;19;29;13
260;67;105;45
388;153;507;86
516;277;389;208
644;273;482;234
772;351;499;331
900;522;870;430
1028;781;1139;549
1156;781;917;733
1284;1059;1420;840
1412;1122;1277;1026
1540;1437;1900;1252
1668;1847;3191;1557
1796;1794;1974;1701
1924;2030;2233;1953
2052;2415;2887;2219
2180;2775;3387;2506
2308;2938;3109;2808
2436;3247;3364;3162
2564;3602;3774;3415
2692;4063;4276;3946
2820;4439;4839;4302
2948;4743;4957;4494
3076;5231;5540;5026
3204;5768;6370;5488
3332;6312;6907;5922
3460;7000;9174;5680
3588;7365;8519;6783
3716;8345;8681;8058
3844;8839;9292;8424
3972;9644;10272;9231
4100;10246;12752;9133
4228;10685;13610;9801
4356;10759;11575;10196
4484;11723;13090;10986
4612;13537;15942;12622
4740;19407;25822;14412
4868;14020;16976;12809
4996;14237;14528;13980
5124;14683;15110;14330
5252;15181;15449;14848
5380;17196;20090;16022
5508;17303;18295;16094
5636;19009;19489;18440
5764;19982;22081;18179
5892;22485;32399;19035
6020;22387;23101;21029
6148;21893;23917;20854
6276;24061;24411;23245
6404;24477;25838;22901
6532;25123;26427;23877
6660;28454;36034;24921
6788;30284;33378;28123
6916;28339;30845;25728
7044;34822;36913;31927
7172;32441;36965;29110
7300;30622;32145;29276
7428;31398;37085;29761
7556;33301;40652;30732
7684;32903;35568;32172
7812;33985;34681;33408
7940;35700;37657;34297
8068;36326;39151;35575
8196;37320;39243;36224
8324;39578;48504;37550
8452;39629;41363;38238
8580;41053;43664;39885
8708;42013;44085;41350
8836;43520;45111;42741
8964;45123;47211;42974
9092;47159;49072;44903
9220;47392;49926;46171
9348;48961;54003;47300
9476;50678;54871;49513
9604;51668;54856;49636
9732;52564;54218;51445
9860;54015;55714;52628
9988;55238;57388;54356
